Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases
40,70,Male,Pants,Clothing,28,Arizona,S,Turquoise,Fall,3.8,Yes,2-Day Shipping,Yes,Yes,18,Credit Card,Every 3 Months
41,69,Male,Handbag,Accessories,41,Louisiana,L,Beige,Winter,4.9,Yes,Express,Yes,Yes,31,Debit Card,Bi-Weekly
42,67,Male,Scarf,Accessories,5,Alaska,M,Orange,Winter,3.4,Yes,Store Pickup,Yes,Yes,40,Venmo,Fortnightly
43,20,Male,Coat,Outerwear,32,Tennessee,M,Beige,Summer,3.8,Yes,Free Shipping,Yes,Yes,15,PayPal,Every 3 Months
44,25,Male,Scarf,Accessories,3,Ohio,L,Lavender,Fall,3.0,Yes,Standard,Yes,Yes,19,PayPal,Every 3 Months
45,39,Male,Hat,Accessories,14,Kentucky,S,Silver,Spring,3.6,Yes,2-Day Shipping,Yes,Yes,45,PayPal,Weekly
46,50,Male,Socks,Clothing,7,Tennessee,XL,Indigo,Winter,3.0,Yes,Free Shipping,Yes,Yes,25,PayPal,Monthly
47,57,Male,Shirt,Clothing,42,California,L,White,Spring,3.7,Yes,2-Day Shipping,Yes,Yes,45,Cash,Weekly
48,55,Male,Jewelry,Accessories,154,Montana,M,Charcoal,Fall,4.3,Yes,Express,Yes,Yes,36,Cash,Fortnightly
49,42,Male,Shirt,Clothing,57,Nevada,M,Orange,Fall,4.9,Yes,Store Pickup,Yes,Yes,38,Cash,Fortnightly
50,68,Male,Hoodie,Clothing,59,New Jersey,S,Indigo,Winter,3.6,Yes,Free Shipping,Yes,Yes,34,Debit Card,Bi-Weekly
51,49,Male,Blouse,Clothing,26,Maryland,M,Red,Spring,4.4,Yes,Store Pickup,Yes,Yes,39,Debit Card,Fortnightly
52,59,Male,Skirt,Clothing,20,Vermont,XL,Gray,Winter,4.7,Yes,Store Pickup,Yes,Yes,7,Credit Card,Quarterly
53,42,Male,T-shirt,Clothing,33,Alaska,M,Green,Summer,4.0,Yes,Standard,Yes,Yes,26,Credit Card,Monthly
54,29,Male,Skirt,Clothing,14,Mississippi,S,Peach,Summer,4.8,Yes,Next Day Air,Yes,Yes,35,Credit Card,Bi-Weekly
55,47,Male,Coat,Outerwear,191,New Mexico,M,Brown,Spring,4.5,Yes,Express,Yes,Yes,35,Debit Card,Bi-Weekly
56,40,Male,Jacket,Outerwear,190,South Carolina,M,Lavender,Winter,4.5,Yes,Express,Yes,Yes,49,Credit Card,Weekly
57,41,Male,Backpack,Accessories,64,Mississippi,XL,Brown,Spring,3.9,Yes,Standard,Yes,Yes,46,Credit Card,Weekly
58,21,Male,Coat,Outerwear,61,West Virginia,M,White,Fall,4.8,Yes,Next Day Air,Yes,Yes,17,Debit Card,Every 3 Months
59,69,Male,Hoodie,Clothing,47,Missouri,M,Charcoal,Fall,4.7,Yes,Store Pickup,Yes,Yes,29,Venmo,Monthly
60,63,Male,Belt,Accessories,7,Louisiana,L,Yellow,Winter,3.4,Yes,Store Pickup,Yes,Yes,4,Debit Card,Annually
61,50,Male,Sweater,Clothing,66,Idaho,L,Brown,Fall,3.7,Yes,Standard,Yes,Yes,17,Cash,Every 3 Months
62,55,Male,Scarf,Accessories,12,Texas,M,Orange,Summer,4.7,Yes,Store Pickup,Yes,Yes,21,Credit Card,Monthly
63,30,Male,Sneakers,Footwear,70,Mississippi,S,Magenta,Summer,4.7,Yes,Store Pickup,Yes,Yes,31,Credit Card,Bi-Weekly
64,33,Male,Sunglasses,Accessories,8,Arizona,L,Lavender,Summer,2.6,Yes,Free Shipping,Yes,Yes,43,Credit Card,Weekly
65,65,Male,Boots,Footwear,65,Alabama,S,Green,Winter,4.9,Yes,Store Pickup,Yes,Yes,18,Debit Card,Every 3 Months
66,65,Male,Backpack,Accessories,66,New Jersey,M,Purple,Fall,3.5,Yes,Standard,Yes,Yes,44,Venmo,Weekly
67,31,Male,Blouse,Clothing,64,Pennsylvania,S,Magenta,Winter,4.1,Yes,Next Day Air,Yes,Yes,3,Venmo,Annually
68,45,Male,Coat,Outerwear,166,Connecticut,L,Gray,Winter,4.4,Yes,Store Pickup,Yes,Yes,49,Debit Card,Weekly
69,57,Male,Handbag,Accessories,73,Utah,L,Silver,Winter,3.8,Yes,2-Day Shipping,Yes,Yes,21,Cash,Monthly
70,48,Male,Belt,Accessories,8,Tennessee,S,Cyan,Spring,3.0,Yes,Standard,Yes,Yes,5,Cash,Quarterly
71,22,Male,Belt,Accessories,4,Alabama,M,Magenta,Spring,2.5,Yes,Free Shipping,Yes,Yes,32,Debit Card,Bi-Weekly
72,36,Male,Dress,Clothing,50,Virginia,L,Gold,Fall,4.4,Yes,Express,Yes,Yes,34,Bank Transfer,Bi-Weekly
73,18,Male,Dress,Clothing,32,Georgia,M,Olive,Summer,4.7,Yes,Next Day Air,Yes,Yes,21,Bank Transfer,Monthly
74,48,Male,Pants,Clothing,68,Hawaii,M,Teal,Spring,3.6,Yes,Free Shipping,Yes,Yes,43,Bank Transfer,Weekly
75,49,Male,Gloves,Accessories,10,Indiana,L,Violet,Spring,3.2,Yes,Standard,Yes,Yes,3,Cash,Annually
76,64,Male,Scarf,Accessories,6,Utah,M,Blue,Fall,3.2,Yes,Store Pickup,Yes,Yes,21,Credit Card,Monthly
77,50,Male,Hat,Accessories,7,Delaware,S,Teal,Winter,2.9,Yes,Store Pickup,Yes,Yes,32,Venmo,Bi-Weekly
78,22,Male,Dress,Clothing,36,Delaware,L,Gold,Spring,4.6,Yes,Express,Yes,Yes,36,Debit Card,Fortnightly
79,50,Male,Skirt,Clothing,34,Nebraska,M,Maroon,Summer,4.0,Yes,2-Day Shipping,Yes,Yes,50,Venmo,Weekly
80,38,Male,Jacket,Outerwear,158,Iowa,M,Olive,Winter,4.4,Yes,Express,Yes,Yes,43,Bank Transfer,Weekly
81,19,Male,Sandals,Footwear,54,New York,XL,Blue,Summer,4.7,Yes,Next Day Air,Yes,Yes,24,Credit Card,Monthly
82,67,Male,Shoes,Footwear,61,Virginia,L,Maroon,Spring,3.5,Yes,Next Day Air,Yes,Yes,36,Credit Card,Fortnightly
83,19,Male,Pants,Clothing,23,Georgia,S,Olive,Fall,4.7,Yes,Next Day Air,Yes,Yes,21,Credit Card,Monthly
84,36,Male,Dress,Clothing,22,Texas,M,Turquoise,Spring,4.7,Yes,Express,Yes,Yes,34,Bank Transfer,Bi-Weekly
85,52,Male,Coat,Outerwear,121,Arizona,S,Peach,Spring,4.3,Yes,Next Day Air,Yes,Yes,42,Bank Transfer,Weekly
86,53,Male,Sunglasses,Accessories,13,New Mexico,M,Charcoal,Summer,4.8,Yes,Store Pickup,Yes,Yes,2,Debit Card,Annually
87,24,Male,Hoodie,Clothing,21,Nevada,L,Pink,Fall,4.6,Yes,Express,Yes,Yes,47,Cash,Weekly
88,52,Male,Shoes,Footwear,70,Ohio,M,Green,Spring,3.6,Yes,2-Day Shipping,Yes,Yes,44,Debit Card,Weekly
89,33,Male,T-shirt,Clothing,63,Wyoming,M,Orange,Summer,4.5,Yes,Next Day Air,Yes,Yes,35,Credit Card,Bi-Weekly
90,47,Male,Jacket,Outerwear,83,California,XL,Pink,Fall,4.6,Yes,Express,Yes,Yes,15,Cash,Every 3 Months
91,25,Male,Hat,Accessories,6,South Carolina,L,Violet,Winter,2.6,Yes,Store Pickup,Yes,Yes,29,Credit Card,Monthly
92,44,Male,Scarf,Accessories,12,South Carolina,S,Green,Spring,4.1,Yes,Standard,Yes,Yes,18,Credit Card,Every 3 Months
93,61,Male,Jacket,Outerwear,58,Texas,M,Olive,Winter,3.9,Yes,2-Day Shipping,Yes,Yes,13,Venmo,Every 3 Months
94,37,Male,Sweater,Clothing,21,Florida,M,Purple,Spring,3.6,Yes,2-Day Shipping,Yes,Yes,46,Credit Card,Weekly
95,58,Male,Skirt,Clothing,22,Nevada,S,Silver,Spring,4.3,Yes,Next Day Air,Yes,Yes,28,Credit Card,Monthly
96,37,Male,Sneakers,Footwear,32,Missouri,L,Pink,Summer,4.3,Yes,Store Pickup,Yes,Yes,48,PayPal,Weekly
97,32,Male,Gloves,Accessories,17,Delaware,S,Gold,Spring,3.7,Yes,2-Day Shipping,Yes,Yes,43,Venmo,Weekly
98,21,Male,Shoes,Footwear,68,Virginia,M,Teal,Spring,4.3,Yes,Next Day Air,Yes,Yes,37,Cash,Fortnightly
99,20,Male,Jeans,Clothing,28,New York,XL,Teal,Fall,4.4,Yes,Next Day Air,Yes,Yes,20,Bank Transfer,Every 3 Months
100,26,Male,Hoodie,Clothing,47,Missouri,XL,Indigo,Fall,3.9,Yes,Free Shipping,Yes,Yes,33,Debit Card,Bi-Weekly
101,62,Male,Sunglasses,Accessories,7,South Dakota,M,Maroon,Summer,2.8,Yes,Free Shipping,Yes,Yes,31,Cash,Bi-Weekly
102,27,Male,Coat,Outerwear,90,North Dakota,XL,White,Spring,4.8,Yes,Store Pickup,Yes,Yes,50,Credit Card,Weekly
103,51,Male,Socks,Clothing,12,Oklahoma,L,Violet,Winter,4.9,Yes,Express,Yes,Yes,35,Credit Card,Bi-Weekly
104,54,Male,Boots,Footwear,19,West Virginia,L,Red,Spring,4.3,Yes,Express,Yes,Yes,22,Venmo,Monthly
105,55,Male,Sunglasses,Accessories,18,New Hampshire,L,Pink,Spring,4.9,Yes,Express,Yes,Yes,1,PayPal,Annually
106,69,Male,Backpack,Accessories,50,New York,M,Charcoal,Summer,4.4,Yes,Next Day Air,Yes,Yes,4,Bank Transfer,Annually
107,64,Male,Jacket,Outerwear,66,Minnesota,L,White,Spring,4.8,Yes,Express,Yes,Yes,31,Credit Card,Bi-Weekly
108,28,Male,Sneakers,Footwear,52,Maryland,L,Olive,Summer,4.9,Yes,Store Pickup,Yes,Yes,46,PayPal,Weekly
109,70,Male,Socks,Clothing,3,Montana,L,Purple,Spring,3.3,Yes,Free Shipping,Yes,Yes,32,Bank Transfer,Bi-Weekly
110,58,Male,T-shirt,Clothing,43,Alabama,M,Violet,Summer,5.0,Yes,Express,Yes,Yes,43,Bank Transfer,Weekly
111,56,Male,Backpack,Accessories,65,New York,M,Black,Winter,3.9,Yes,Next Day Air,Yes,Yes,26,Venmo,Monthly
112,26,Male,Belt,Accessories,17,Massachusetts,L,Purple,Summer,4.5,Yes,Store Pickup,Yes,Yes,9,Credit Card,Quarterly
113,37,Male,Gloves,Accessories,12,Florida,M,Red,Spring,4.7,Yes,Express,Yes,Yes,28,PayPal,Monthly
114,44,Male,Hat,Accessories,13,New Jersey,L,Maroon,Winter,3.5,Yes,Next Day Air,Yes,Yes,20,PayPal,Every 3 Months
115,70,Male,Coat,Outerwear,65,Massachusetts,S,Blue,Fall,4.0,Yes,Next Day Air,Yes,Yes,9,Cash,Quarterly
116,53,Male,Skirt,Clothing,33,Wyoming,M,Gray,Spring,4.6,Yes,Store Pickup,Yes,Yes,48,Debit Card,Weekly
117,55,Male,Shoes,Footwear,79,Virginia,S,Blue,Spring,5.0,Yes,Express,Yes,Yes,12,Venmo,Every 3 Months
118,50,Male,Sandals,Footwear,45,South Dakota,L,Yellow,Spring,4.4,Yes,Store Pickup,Yes,Yes,29,Cash,Monthly
119,50,Male,Sweater,Clothing,60,Kentucky,L,Orange,Fall,3.9,Yes,2-Day Shipping,Yes,Yes,27,Cash,Monthly
120,38,Male,Coat,Outerwear,128,Wyoming,M,Orange,Winter,4.7,Yes,Next Day Air,Yes,Yes,44,Cash,Weekly
121,64,Male,Hat,Accessories,8,West Virginia,L,Red,Summer,2.8,Yes,Standard,Yes,Yes,32,Bank Transfer,Bi-Weekly
122,19,Male,Shorts,Clothing,40,Virginia,M,Olive,Summer,4.7,Yes,Store Pickup,Yes,Yes,11,Cash,Every 3 Months
123,40,Male,Backpack,Accessories,47,Washington,L,Brown,Spring,4.4,Yes,Express,Yes,Yes,44,Cash,Weekly
124,57,Male,Sweater,Clothing,54,Louisiana,L,Brown,Fall,3.5,Yes,Free Shipping,Yes,Yes,46,Cash,Weekly
125,44,Male,Sweater,Clothing,15,Nevada,M,Gray,Fall,4.1,Yes,Standard,Yes,Yes,50,PayPal,Weekly
126,49,Male,Shorts,Clothing,60,California,M,Indigo,Summer,5.0,Yes,Express,Yes,Yes,45,Venmo,Weekly
127,43,Male,Shorts,Clothing,57,Mississippi,L,Pink,Spring,4.1,Yes,Standard,Yes,Yes,48,Cash,Weekly
128,24,Male,Sweater,Clothing,11,Mississippi,M,Gray,Spring,3.3,Yes,Standard,Yes,Yes,26,Credit Card,Monthly
129,20,Male,Scarf,Accessories,5,California,M,Gold,Spring,2.6,Yes,Standard,Yes,Yes,21,Credit Card,Monthly
130,24,Male,Dress,Clothing,58,Pennsylvania,XL,Olive,Summer,3.9,Yes,Next Day Air,Yes,Yes,49,PayPal,Weekly
131,44,Male,Scarf,Accessories,8,Kentucky,L,Violet,Spring,3.1,Yes,Free Shipping,Yes,Yes,13,PayPal,Every 3 Months
132,28,Male,Skirt,Clothing,19,Maine,L,Indigo,Spring,3.8,Yes,2-Day Shipping,Yes,Yes,46,Credit Card,Weekly
133,30,Male,Backpack,Accessories,25,New Mexico,M,Orange,Summer,4.1,Yes,Standard,Yes,Yes,42,PayPal,Weekly
134,52,Male,Sweater,Clothing,44,Montana,M,Violet,Fall,4.0,Yes,Next Day Air,Yes,Yes,25,Venmo,Monthly
135,43,Male,Hat,Accessories,8,Texas,L,Gray,Spring,2.6,Yes,Free Shipping,Yes,Yes,25,Cash,Monthly
136,43,Male,Sandals,Footwear,56,Kansas,M,Purple,Fall,4.2,Yes,Free Shipping,Yes,Yes,12,PayPal,Every 3 Months
137,39,Male,Blouse,Clothing,53,South Carolina,M,White,Fall,3.5,Yes,Free Shipping,Yes,Yes,4,Debit Card,Annually
138,68,Male,Sneakers,Footwear,51,Colorado,M,Turquoise,Summer,4.8,Yes,Express,Yes,Yes,38,PayPal,Fortnightly
139,68,Male,Skirt,Clothing,15,Georgia,M,Maroon,Summer,4.3,Yes,Store Pickup,Yes,Yes,42,Bank Transfer,Weekly
140,49,Male,Coat,Outerwear,170,Florida,M,White,Summer,4.7,Yes,Store Pickup,Yes,Yes,30,Venmo,Monthly
141,63,Male,Shirt,Clothing,13,North Carolina,L,Yellow,Winter,4.0,Yes,2-Day Shipping,Yes,Yes,50,Credit Card,Weekly
142,56,Male,Gloves,Accessories,11,Virginia,M,Turquoise,Fall,2.9,Yes,Store Pickup,Yes,Yes,45,PayPal,Weekly
143,37,Male,Jacket,Outerwear,183,Nebraska,L,Violet,Spring,4.4,Yes,Store Pickup,Yes,Yes,33,Credit Card,Bi-Weekly
144,30,Male,Coat,Outerwear,96,Missouri,M,Beige,Winter,5.0,Yes,Express,Yes,Yes,25,PayPal,Monthly
145,19,Male,Shoes,Footwear,52,New Jersey,M,Silver,Fall,4.5,Yes,Next Day Air,Yes,Yes,25,Cash,Monthly
146,24,Male,Jewelry,Accessories,59,Missouri,M,Teal,Winter,3.7,Yes,Standard,Yes,Yes,44,Debit Card,Weekly
147,52,Male,Skirt,Clothing,39,Colorado,S,Black,Summer,3.5,Yes,Free Shipping,Yes,Yes,21,Venmo,Monthly
148,63,Male,Shoes,Footwear,49,Idaho,M,Purple,Winter,3.5,Yes,2-Day Shipping,Yes,Yes,31,Bank Transfer,Bi-Weekly
149,37,Male,Gloves,Accessories,15,Wyoming,M,Gray,Spring,4.5,Yes,Store Pickup,Yes,Yes,47,Debit Card,Weekly
150,38,Male,Pants,Clothing,10,Delaware,M,White,Fall,3.3,Yes,Free Shipping,Yes,Yes,14,PayPal,Every 3 Months
151,35,Male,Boots,Footwear,32,California,L,Cyan,Fall,4.7,Yes,Next Day Air,Yes,Yes,17,Debit Card,Every 3 Months
152,28,Male,Sunglasses,Accessories,12,North Dakota,L,Turquoise,Summer,4.2,Yes,Standard,Yes,Yes,3,Venmo,Annually
153,30,Male,Shirt,Clothing,11,South Carolina,S,Brown,Fall,3.5,Yes,2-Day Shipping,Yes,Yes,42,Venmo,Weekly
154,69,Male,Hoodie,Clothing,22,North Carolina,M,Maroon,Spring,3.6,Yes,2-Day Shipping,Yes,Yes,22,Debit Card,Monthly
155,41,Male,Dress,Clothing,60,Oklahoma,M,Charcoal,Summer,4.7,Yes,Express,Yes,Yes,21,Venmo,Monthly
156,63,Male,Socks,Clothing,3,Maine,S,Olive,Winter,3.0,Yes,Free Shipping,Yes,Yes,21,Bank Transfer,Monthly
157,35,Male,Shorts,Clothing,42,Missouri,M,Lavender,Summer,4.5,Yes,Store Pickup,Yes,Yes,40,Debit Card,Fortnightly
158,36,Male,Hat,Accessories,12,Vermont,S,Yellow,Summer,4.4,Yes,Store Pickup,Yes,Yes,1,Bank Transfer,Annually
159,25,Male,Shirt,Clothing,15,Connecticut,XL,Teal,Spring,3.7,Yes,Standard,Yes,Yes,50,Bank Transfer,Weekly
160,58,Male,Gloves,Accessories,15,New Hampshire,M,Charcoal,Spring,4.3,Yes,Store Pickup,Yes,Yes,39,Bank Transfer,Fortnightly
161,27,Male,Gloves,Accessories,12,Texas,M,Orange,Spring,4.8,Yes,Store Pickup,Yes,Yes,34,Venmo,Bi-Weekly
162,65,Male,Backpack,Accessories,22,North Dakota,M,Olive,Winter,3.8,Yes,2-Day Shipping,Yes,Yes,29,Venmo,Monthly
163,54,Male,Sunglasses,Accessories,15,California,M,Turquoise,Summer,3.5,Yes,Next Day Air,Yes,Yes,31,PayPal,Bi-Weekly
164,54,Male,Skirt,Clothing,54,Virginia,M,Purple,Summer,4.1,Yes,Standard,Yes,Yes,8,Debit Card,Quarterly
165,59,Male,Handbag,Accessories,112,Delaware,S,Purple,Summer,4.5,Yes,Next Day Air,Yes,Yes,5,Credit Card,Quarterly
166,42,Male,Handbag,Accessories,183,Kentucky,S,Yellow,Fall,4.7,Yes,Store Pickup,Yes,Yes,7,Cash,Quarterly
167,46,Male,Sneakers,Footwear,12,Delaware,XL,Indigo,Spring,4.0,Yes,Free Shipping,Yes,Yes,30,Cash,Monthly
168,33,Male,Gloves,Accessories,19,Arkansas,M,Green,Winter,4.0,Yes,Free Shipping,Yes,Yes,14,Credit Card,Every 3 Months
169,34,Male,Shoes,Footwear,172,Louisiana,M,Magenta,Spring,4.9,Yes,Next Day Air,Yes,Yes,5,Cash,Quarterly
170,27,Male,Jacket,Outerwear,94,Nevada,S,Gold,Spring,4.6,Yes,Next Day Air,Yes,Yes,3,PayPal,Annually
171,52,Male,Shirt,Clothing,14,Wyoming,M,Maroon,Summer,3.9,Yes,2-Day Shipping,Yes,Yes,46,Venmo,Weekly
172,29,Male,Shorts,Clothing,22,Virginia,M,Blue,Summer,3.5,Yes,Standard,Yes,Yes,4,Credit Card,Annually
173,54,Male,Jewelry,Accessories,83,Nebraska,M,Violet,Winter,4.8,Yes,Express,Yes,Yes,42,Credit Card,Weekly
174,25,Male,Hat,Accessories,4,Hawaii,M,Turquoise,Summer,3.4,Yes,Standard,Yes,Yes,30,Cash,Monthly
175,41,Male,Shoes,Footwear,162,Vermont,L,Brown,Winter,4.5,Yes,Next Day Air,Yes,Yes,37,Venmo,Fortnightly
176,53,Male,Coat,Outerwear,81,Oklahoma,L,Violet,Fall,4.3,Yes,Express,Yes,Yes,2,Bank Transfer,Annually
177,53,Male,Backpack,Accessories,27,New Hampshire,L,Black,Fall,4.3,Yes,Store Pickup,Yes,Yes,30,Credit Card,Monthly
178,21,Male,Hoodie,Clothing,18,Kansas,L,Magenta,Spring,4.7,Yes,Next Day Air,Yes,Yes,47,Bank Transfer,Weekly
179,61,Male,Skirt,Clothing,34,Idaho,L,Lavender,Summer,4.8,Yes,Next Day Air,Yes,Yes,21,PayPal,Monthly
180,64,Male,Boots,Footwear,31,Illinois,M,Violet,Spring,5.0,Yes,Next Day Air,Yes,Yes,9,Bank Transfer,Quarterly
181,51,Male,Sandals,Footwear,42,South Dakota,L,Green,Summer,4.6,Yes,Store Pickup,Yes,Yes,12,Debit Card,Every 3 Months
182,32,Male,Pants,Clothing,44,Massachusetts,M,Beige,Summer,3.7,Yes,Next Day Air,Yes,Yes,4,Bank Transfer,Annually
183,38,Male,Gloves,Accessories,16,Alabama,XL,Purple,Winter,4.8,Yes,Store Pickup,Yes,Yes,10,Debit Card,Quarterly
184,58,Male,Skirt,Clothing,25,Ohio,XL,Beige,Summer,3.6,Yes,Standard,Yes,Yes,26,Credit Card,Monthly
185,32,Male,Sneakers,Footwear,30,Hawaii,L,Cyan,Summer,4.1,Yes,Standard,Yes,Yes,40,Cash,Fortnightly
186,46,Male,T-shirt,Clothing,26,Wisconsin,XL,Silver,Spring,4.2,Yes,Free Shipping,Yes,Yes,34,Bank Transfer,Bi-Weekly
187,39,Male,Backpack,Accessories,19,Minnesota,S,Lavender,Winter,4.4,Yes,Next Day Air,Yes,Yes,31,Debit Card,Bi-Weekly
188,19,Male,Shoes,Footwear,60,Georgia,S,Purple,Spring,3.8,Yes,2-Day Shipping,Yes,Yes,1,Bank Transfer,Annually
189,50,Male,Hoodie,Clothing,25,Arkansas,M,Pink,Fall,4.6,Yes,Store Pickup,Yes,Yes,5,Bank Transfer,Quarterly
190,36,Male,Blouse,Clothing,16,West Virginia,M,Maroon,Summer,4.2,Yes,Standard,Yes,Yes,4,Credit Card,Annually
191,65,Male,Coat,Outerwear,54,Indiana,XL,Beige,Spring,4.3,Yes,Next Day Air,Yes,Yes,48,Venmo,Weekly
192,64,Male,Hat,Accessories,3,Utah,M,Gray,Summer,2.9,Yes,Free Shipping,Yes,Yes,29,Cash,Monthly
193,46,Male,Shoes,Footwear,149,Nebraska,L,Turquoise,Spring,4.2,Yes,Free Shipping,Yes,Yes,12,PayPal,Every 3 Months
194,36,Male,Belt,Accessories,18,North Dakota,S,Silver,Summer,4.0,Yes,Next Day Air,Yes,Yes,29,Venmo,Monthly
195,51,Male,Backpack,Accessories,27,Missouri,M,Olive,Summer,3.9,Yes,Standard,Yes,Yes,15,Debit Card,Every 3 Months
